title,description,prod_details,ASIN,Manfacturer
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather","  Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.    Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls    Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.    Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.    Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.   ","  Product Dimensions:29.01 x 46 x 19 cm; 580 Grams   Date First Available:11 April 2019   Manufacturer:AirCase   ASIN:B07QN4KXWG   Item model number:C34-P   Country of Origin:India   Department:Unisex-adult   Manufacturer:AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302   Packer:Istuff365, Godown No.H-3, Dharam Complex, Thane-421302   Item Weight:580 g   Item Dimensions LxWxH:29 x 46 x 19 Centimeters   Net Quantity:1 Unit   Included Components:1 Laptop Backpack   Generic Name:Laptop Backpack  ",B07QN4KXWG,AirCase
ADISA Laptop Backpack 31 Ltrs,"  Adjustable Shoulder Handles / Two Bottle holders / Padded Top Handle / Reflector Logo    NOT INCLUDED: NO RAINCOVER, Headphone & Cable (Images only for display)    Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended)    Compartments: 2 with full padding; Front Easy-Access Pocket    Dimensions : L x W x H- 12 x 7 x 18 inches   ","  Product Dimensions:30.5 x 17.8 x 45.7 cm; 430 Grams   Date First Available:26 July 2018   Manufacturer:ADISA   ASIN:B07G3CG9FC   Item model number:BP004   Country of Origin:India   Department:Men   Manufacturer:ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com   Packer:ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com   Item Weight:430 g   Item Dimensions LxWxH:30.5 x 17.8 x 45.7 Centimeters   Net Quantity:1.00 Unit   Included Components:Laptop backpack only   Generic Name:Laptop backpack  ",B07G3CG9FC,ADISA
"Artistix Avian Unisex Water Repellent Anti Theft Travel Backpack with USB Port (Black, 32 L)","  PREMIUM MATERIAL: Made from high density water repellent polyester material. Highly smooth zippers & puller.;Compartment Description: Up To 16 Inches; Age Range Description: Adult; Style Name: Daypack Backpacks; Warranty Description: 1 Year From Date Of Purchase; Pattern Name: Solid    ORGANISED DESIGN: This backpack has spacious compartment with built in soft padded sleeves to protect your laptop /Tablet./Ipad. Spacious enough to hold your clothes, files, documents etc. Includes pockets for power bank, hard disk, wallet etc. Front bottom pocket for small items. Side pockets for water bottle, umbrella etc. The main zipper compartment is secured with a magnetic flap closure having small pocket inside for keys. Soft handle for better comfort.    ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, and wallet. This invisible design increases the security of your belongings. Dimensions: 47 cms x 32 cms x 17 cms. Capacity: 32 Litres    USB FEATURE External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.    TROLLEY STRAP: The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Adjustable and padded shoulder straps make it comfortable during use.   ","  Product Dimensions:17 x 32 x 47 cm; 1.2 Kilograms   Date First Available:24 July 2021   Manufacturer:Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990   ASIN:B09B5DMGM1   Item model number:Av_01   Country of Origin:India   Department:Unisex-adult   Manufacturer:Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990   Item Weight:1 kg 200 g   Item Dimensions LxWxH:17 x 32 x 47 Centimeters  ",B09B5DMGM1,"Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990"
NORTH ZONE 25 ltrs (10 Cms) backpack(INVALID DATA_navy blue),"  COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g; HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items     CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use     CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.     HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.     Pocket Description: Utility Pocket; Age Range Description: Adult; Water Resistance Level: Waterproof; Color Name: Neavy Blue; Pattern Name: Solid    ","  Product Dimensions:50.8 x 30.48 x 25.4 cm; 499 Grams   Date First Available:3 September 2022   Manufacturer:Northzone   ASIN:B0BCYX6DW2   Item model number:DINY01   Country of Origin:India   Department:Unisex-adult   Manufacturer:Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086   Packer:Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086   Importer:Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086   Item Weight:499 g   Item Dimensions LxWxH:50.8 x 30.5 x 25.4 Centimeters   Net Quantity:1.00 count  ",B0BCYX6DW2,Northzone
"WENGER BTS Sun 14/16 Inch Laptop Backpack, 10 Inch Tablet Pocket in Navy Geo Print in Blie (27 litres)-Blend of Style & Function, Swiss Designed, 612036","  Care Instructions: Hand Wash Only    Laptop & Tablet Pocket: 4 Zippered compartments with a padded 16'' laptop compartment & a dedicated 10'' tablet pocket. Keep your laptop & tablet secure in its own convenient pocket.    Comprehensive Features: An integrated SmartOrg pocket that safely stores phone & laptop cords for easy use & access. Ideal for commuting & traveling. Easily store items inside a multi-compartment organizer panel, keeping essentials from getting lost in larger compartments. Mesh side pockets are sized to hold a water bottle or an umbrella with reflective print for better visibility at night.    Optimum Comfort with Functionality: Padded grab handle provides maximum comfort when carrying the backpack by hand. Quickly tighten or loosen the shoulder straps to your desired fit with these convenient thumb-ring adjusters. & Airflow back padding keeps the wearer cool.    Dimensions & Material: Size 27 x 35 x 47 cm Capacity 27 l Material Polyester    3-Year Wenger Warranty Our products undergo strict quality controls and rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 3-year warranty.   ","  Product Dimensions:27 x 35 x 47 cm; 500 Grams   Date First Available:2 November 2021   Manufacturer:Victorinox   ASIN:B09T63XYP6   Item model number:612036   Country of Origin:India   Department:Unisex-adult   Manufacturer:Victorinox, Victorinox India Pvt Ltd.   Packer:Victorinox India Pvt Ltd.   Importer:Victorinox India Pvt Ltd.   Item Weight:500 g   Item Dimensions LxWxH:27 x 35 x 47 Centimeters   Net Quantity:1.00 count   Generic Name:Backpacks  ",B09T63XYP6,Victorinox
URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,"  Made with strong and premium 450D Polyester    Max padded 15.4"" Laptop compartment    Cool and stylish looks    Unique front quick access mesh pockets    Large front pocket for extra convenience   ","  Product Dimensions:14 x 32 x 44 cm; 510 Grams   Date First Available:5 December 2022   Manufacturer:Backpack International Pvt Ltd   ASIN:B0BP1QM6W5   Item model number:Move   Country of Origin:India   Department:Unisex-adult   Manufacturer:Backpack International Pvt Ltd, Backpack International Pvt Ltd   Packer:Backpack International Pvt Ltd   Importer:Backpack International Pvt Ltd   Item Weight:510 g   Item Dimensions LxWxH:14 x 32 x 44 Centimeters   Net Quantity:1.00 count  ",B0BP1QM6W5,Backpack International Pvt Ltd
Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),"  SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort    COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers, It comes with a 9 Month Warranty. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women    PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm    BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.    OTHER FEATURES: Strong and durable zippers, 9 Months Warranty, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.   ","  Product Dimensions:21 x 33 x 48 cm; 600 Grams   Date First Available:28 February 2020   Manufacturer:Amazing Bags   ASIN:B085MHDJ93   Item model number:bag for men   Country of Origin:India   Department:Unisex Adult and Child   Manufacturer:Amazing Bags, Half_Moon, New Delhi   Item Weight:600 g   Item Dimensions LxWxH:21 x 33 x 48 Centimeters  ",B085MHDJ93,Amazing Bags
"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)","  100% Polyester, High Quality, Durable and Water Resistant Fabric    2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook    Front storage pocket keeps smaller items neatly organized and easy to access    Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects    Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight   ","  Product Dimensions:46 x 32 x 16 cm; 350 Grams   Date First Available:22 July 2021   Manufacturer:Safari Industries   ASIN:B09B25Z8M2   Item model number:QUILL19CBBLK   Country of Origin:India   Department:Unisex-adult   Manufacturer:Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Packer:302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Importer:302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059   Item Weight:350 g   Item Dimensions LxWxH:46 x 32 x 16 Centimeters   Generic Name:Laptop Backpack  ",B09B25Z8M2,Safari Industries
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm","  Medium Purses for Women: 32L x 13B x 30H cm. Short handle height: 25cm, This hobo bag comes with a long removable and adjustable shoulder strap, which can be used as a women shoulder bag or hobo cross-body bag.    Updated Women Handbags: High-quality Vegan leather, Reinforced shoulder strap and improved zipper quality, also improved lining polyester, all faux leather hobo bags have been done anti-shock&wear-resistant tests, good purses and handbags for women.    Package Include: 1 x Hand Bag, 1 x Cross Body Strap    Structure: Ladies hobo handbags has one main compartment,1 middle compartment, 1 zipper pocket and 2 slot pockets, with 1 back zipper pocket, enough capacity to organize your daily items, such as 9.7-inch iPad, book, umbrella, wallet, water bottle, iPhone and cosmetics, etc.    Classic Hobo Purse: Top zipper closure, with 2 side zipper pockets design and elegant tassels decoration, fashionable and practical handbags for women, perfect for shopping, dating, travel and business.    🚩 DISCLAIMER: 🚩 WE HIGHLY RECOMMEND TO CHECK THE PRODUCT SIZE CHART IN 2ND IMAGE BEFORE PURCHASE TO AVOID MISCONCEPTION REGARDING THE PRODUCT SIZE. PRODUCT COLOUR MAY SLIGHTLY VARY DUE TO PHOTOGRAPHIC LIGHTING SOURCES OR YOUR MONITOR SETTINGS.   ","  Product Dimensions:32 x 13 x 30 cm; 620 Grams   Date First Available:6 July 2020   Manufacturer:Panda Exim   ASIN:B08CMQD4BC   Item model number:KK38   Country of Origin:China   Department:Womens   Manufacturer:Panda Exim   Packer:Opus Retail   Importer:Panda Exim   Item Weight:620 g   Item Dimensions LxWxH:32 x 13 x 30 Centimeters   Net Quantity:1.00 count   Included Components:1 Handbag, 1 Long & Adjustable Strap   Generic Name:Handbag  ",B08CMQD4BC,Panda Exim
F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo),  Water Proof with attached Rain cover.    Air Mesh Padding at the Back panel and shoulder straps for utmost Comfort.    Three big compartments and one bottle holder    Dimensions (LxHxW) CM: 33 x 48 x 21 cm    Comes with the F Gear promise of Quality   ,"  Is Discontinued By Manufacturer:No   Product Dimensions:33 x 21 x 48 cm; 570 Grams   Date First Available:24 June 2018   Manufacturer:Uber Fashion Merchandise Pvt. Ltd.   ASIN:B07F1157TV   Item model number:2810   Country of Origin:India   Department:Unisex-adult   Manufacturer:Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590   Packer:Uber Fashion Merchandise Pvt. Ltd. F Gear, Jindal Edifice, No 90/2, 3rd Main, 2nd Stage, Industrial Suburb, Yeshwantpur, Bengaluru, Karnataka 560112   Item Weight:570 g   Item Dimensions LxWxH:33 x 21 x 48 Centimeters   Net Quantity:1 count   Included Components:F Gear Pack of 1 Backpack   Generic Name:Casual Backpack  ",B07F1157TV,No
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"  Outer Material: Polyester, Color: Black    Water Resistance: Water resistant    Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,    Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks   ","  Product Dimensions:50 x 34 x 18 cm; 680 Grams   Date First Available:14 September 2017   Manufacturer:Gear Merchandise PVT LTD   ASIN:B075MK4TXP   Item model number:LBPASPIRE0104   Country of Origin:India   Department:Men   Manufacturer:Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366   Packer:Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366   Item Weight:680 g   Item Dimensions LxWxH:50 x 34 x 18 Centimeters   Net Quantity:1 count   Included Components:Laptop Backpack   Generic Name:Bag  ",B075MK4TXP,Gear Merchandise PVT LTD
